RecordID,SightDate,Year,Month,Time,Location,Location2,FishArea,Quadrant,ActualLatitude,ActualLongitude,Species,Count,Count_clean,Direction,Pod,LikelyPod,Comments,Channel,Source,ReportingParty,Harrassment,OCstranding,SJCstranding,FieldIvest,Hydrophone,StrandReport,Alive/Dead,Stranded
86436,9/11/2013,2013,9,14:00,2890,Swanson Channel - S of Prevost Island,,155,48.798,-123.358,Harbor Porpoise,1,1,E,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
78190,5/3/1992,1992,5,19:00,5438,,18C,156,0,0,Harbor porpoise,15-Dec,12.15,,,,feeding,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
78233,9/16/1990,1990,9,14:33,7027,,18C,160,0,0,Harbor porpoise,1,1,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
78558,7/8/1989,1989,7,20:15,5707,,18C,161,0,0,Harbor porpoise,2,2,mill,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
13123,7/28/2007,2007,7,12:15,462,,18C,162,,,Harbor Porpoise,8-Jun,6.8,,,,,Other,Reliable,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
73949,9/4/1984,1984,9,11:41,3745,,18C,162,0,0,Harbor porpoise,2,2,SW,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
73956,6/16/1990,1990,6,12:00,3745,,18C,162,0,0,Harbor porpoise,3,3,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
73951,8/22/1990,1990,8,16:00,3745,,18C,162,0,0,Harbor porpoise,4-Mar,3.4,,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
73957,9/5/1990,1990,9,11:30,3745,NW tip,18C,162,0,0,Harbor porpoise,1,1,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
73963,9/4/1984,1984,9,11:41,3751,,18C,162,0,0,Harbor porpoise,2,2,SW,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
79952,6/25/1989,1989,6,15:50,6155,,18C,163,0,0,Harbor porpoise,2+,2+,,,,,HDB,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
79959,7/7/1990,1990,7,10:30,6155,,18C,163,0,0,Harbor porpoise,5,5,mill,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
39754,5/14/2010,2010,5,13:00,6155,,18C,163,0,0,Harbor Porpoise,10+,10+,,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
80495,8/31/1976,1976,8,16:50,6395,,7,163,0,0,Harbor porpoise,1,1,,,,,HDB,Researchers,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
80502,9/5/1977,1977,9,,6395,,7,163,0,0,Harbor porpoise,5,5,,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
80514,8/3/1978,1978,8,7:45,6395,Assuming it's this Turn Point,7,163,0,0,Harbor porpoise,5,5,,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
80579,7/31/1984,1984,7,19:55,6395,Assuming it's this Turn Point,7,163,0,0,Harbor porpoise,2,2,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
80593,7/25/1985,1985,7,14:30,6395,Assuming it's this Turn Point,7,163,0,0,Harbor porpoise,1,1,N,,,,Hotline,Reliable,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
80665,6/30/1989,1989,6,15:00,6395,,7,163,0,0,Harbor porpoise,2,2,mill,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
